ガンゴッシュ 	 Gangos
パガルザン 	 Paglth'an
ゾレマク 	 Zolm'ak
大平原 	 The Boundless Plains
ゾレマク祭場 	 Gathering Ring
トカゲの囲い場 	 Scalekin Pen
黄昏の庭 	 Sunseat
境界の谷 	 The Valley of No One
ゾレマク市街 	 Zolm'ak Citadel
黄金の平原 	 The Gilded Sea
アマルジャの移動集落 	 Drifting Encampment
商客物語
[特殊ダンジョン探索] 	 The Merchant's Tale
(Dungeon Entry)
ノルヴラント 	 Norvrandt
ノルヴラント 	 Norvrandt
クリスタリウム 	 The Crystarium
ユールモア 	 Eulmore
レイクランド 	 Lakeland
コルシア島 	 Kholusia
アム・アレーン 	 Amh Araeng
イル・メグ 	 Il Mheg
ラケティカ大森林 	 The Rak'tika Greatwood
テンペスト 	 The Tempest
秘密の花園 	 Hidden Gardens
迷いの森 	 Wanderlust
幻惑の湖 	 Dohn Toch
幻惑の城 	 Dohn Lran
微睡みの泉 	 Teag Gye
捻じれた大樹 	 The Twisted Trunk
フーアの浴場 	 The Bathing Pools
グリオールの寝床 	 The Atelier
水面のホール 	 Reflections
王冠の間 	 The Throne Room
至天の広間 	 The Hall of Ascension
冥界の大空洞 	 The Underworld
大改装区画 	 Repurposement
崩壊した通路 	 Collapsed Passage
次元潜行装置 	 The Dimensional Brake
煉獄の入口 	 The Dark Invitation
改装作業拠点 	 Repurposing
エーテル観測台 	 Aetherial Observation
主動力エーテル炉 	 Main Aether Furnace
次元潜行装置中枢 	 The Cornice
ドォーヌ・メグ 	 Dohn Mheg
幻惑の園 	 Lran Mheg
幻惑の城 	 Dohn Lran
シルクス・ツイニング 	 The Twinning
地下浅層 	 The Shallow
地下深層 	 The Deep
アーモロート 	 Amaurot
滅びゆく都 	 Fading Footsteps
滅びゆく星 	 Fading Hearth
見よ、獣は解き放たれた 	 And lo, vile beasts did rise,
それらは人々を殺し、街を焼いた 	 Leaving naught in their wake but blood and ash.
これが、第一の災いである 	 Thus did the first doom befall us.
この後、なお二つの災いが来る 	 It would not, however, prove the last.
明日は燃え殻となり塵となった 	 For soon did the sun bend low, scorching earth and boiling seas.
これが、第二の災いである 	 Thus did the second doom break us.
滅びは影のように速い 	 Yet it was neither claw nor flame, but our very sins─
すべてが失われようとしていた 	 Stacked to the heavens where they took root, corrupting its halls─
これが、第三の災いである 	 Thus did the third doom undo us.
グルグ火山 	 Mt. Gulg
崩れかけた山道 	 The Perished Path
純白門 	 The White Gate
光芒の階段 	 The Winding Flare
大タロースの背 	 The Spine of the Talos
大タロースの右腕 	 The Arm of the Talos
漂白された山道 	 The Pallid Path
改竄された山道 	 The Permuted Path
下層 	 The Rise Above
上層 	 The Cant Below
アナイダアカデミア 	 Akadaemia Anyder
水棲生物創造場 	 Ichthyology
草木生物創造場 	 Phytobiology
幻想生物創造場 	 Phantomology
アカデミア正門 	 The Main Gate
ミトロン院 	 The Words of Mitron
ハルマルト院 	 The Words of Halmarut
ラハブレア院 	 The Words of Lahabrea
構内 	 The Halls
屋上 	 Rooftop
階差閉宇宙 	 Liminal Space
キタンナ神影洞 	 The Qitana Ravel
キタリの誰何 	 The Qitari Dissent
神前の石扉 	 The Divine Threshold
ロックワ神の寝床 	 The Night of Yx'Lokwa
アンパ神の涙 	 Tears of the Gods
神影写しの虚 	 Shadowed Hollow
チャール神の踊場 	 The Leap of Ox'Charl
ラケティカ大飛瀑 	 Rak'tika Falls
ガトル神の祭壇 	 The Song of Ox'Gatorl
偽造された宮殿 	 The False Prayer
マリカの大井戸 	 Malikah's Well
トロッコターミナル 	 Terminus
マリカの水源 	 Malikah's Gift
無償の離宮 	 Unquestioned Acceptance
赤の水殿 	 The Jasper Walls
翠の坑道 	 The Jade Paths
青の水脈 	 The Turquoise Currents
漂白された洞穴 	 Blanch
迷える羊飼いの森 	 The Forest of the Lost Shepherd
水晶公の門 	 The Exarch Gate
風化した大地 	 Weathering
始まりの湖 	 The Source
狭間の空き地 	 Embrasure
従者の門 	 The Accensor Gate
帯の道 	 The Belt
千の山々 	 The Chiliad
ジョッブ砦 	 Fort Jobb
光耀教会 	 The Church of the First Light
岩の橋 	 The Bridges
ラディスカ物見塔 	 Radisca's Round
留めの堡塁 	 The Stay
北の集結地 	 Northern Staging Point
ホルミンスター 	 Holminster Switch
クリアメルト 	 Clearmelt
穢れなき証 	 Inviolate Witness
ラクサン城 	 Laxan Loft
首吊り塔 	 The Hanging Tower
三再誕の広間 	 The Hall of the Thrice Born
巨人の兎小屋 	 Hare Among Giants
オスタル厳命城 	 The Ostall Imperative
影狼の屋敷 	 Wolves of Shadow
サレン郷 	 Sullen
ウィード島 	 Weed
ブリック島 	 Brick
ノット島 	 Knot
ラップ島 	 Lap
ダンプソール桟橋 	 Dampsole
責苦の監獄 	 The Hour of Certain Durance
錆ついた鉄鎖 	 Mortal Irons
渇き知らずの浜 	 The Thirstless Shore
ケンの島 	 The Isle of Ken
裸岩 	 Naked Rock
ブライトクリフ 	 The Bright Cliff
シャドウ・フォールト 	 Shadow Fault
スクリー山地 	 Scree
ドヴェルガル山脈 	 The Duergar Mountains
クラックシェル海岸 	 Cracked Shell Beach
スティルタイド 	 Stilltide
穴あき小舟亭 	 The Leaky Keel
ガバナーの畑 	 Governor's Row
ホワイトオイルフォールズ 	 White Oil Falls
グリーリースタイズ 	 Greely Sties
スローロード 	 Slowroad
サザンクロッシング 	 Southern Crossing
グリーリーブリッジ 	 Greely Bridge
ワッツリバー下流 	 Lower Watts River
偏屈者の小屋 	 The Codger's Crook
ゲートタウン 	 Gatetown
歓迎の門 	 Open Arms
ホエール岬 	 The Whale's Breach
チゼルの岩門 	 The Chisel
クレイヴ灯台 	 The Clave
シーゲイザー 	 Seagazer
ストーンゲイザー 	 Stonegazer
ヴェンモント造船所 	 Venmont Yards
スプリットハル岬 	 The Split Hull
ライト村 	 Wright
ワックスシール牧場 	 Wax Seal Mills
ウィスパーウィンド入江 	 Whisperwind Cove
ボトムラング 	 Bottom Rung
ラダー大昇降機 	 The Ladder
バローアイル 	 Barrow Isle
シャープタンの泉 	 Sharptongue Drip
娘たちの舞踏場 	 The Lawns
トップラング 	 Top Rung
アミティー 	 Amity
八号坑口 	 Pit 8
トメラの村 	 Tomra
クイックウェイ 	 The Quick Way
南アンバーヒル 	 The Southern Hills of Amber
ワッツリバー上流 	 Upper Watts River
ボイルドアウルブリッジ 	 Boiled Owl Bridge
フルーブリッジ 	 Flue Bridge
コメラの村 	 Komra
ドヴェルグの煙突 	 The Duergar's Tewel
ドワーフの洞窟 	 Dwarven Hollows
カスール・シャル 	 Qasr Sharl
アンバーフィールド 	 The Fields of Amber
北アンバーヒル 	 The Northern Hills of Amber
中央アンバーヒル 	 The Central Hills of Amber
廃都ナバスアレン 	 Nabaath Areng
隊商の野営地 	 The Red Serai
砂の川 	 The River of Sand
シムーンの背骨 	 Samiel's Backbone
モルド・スーク 	 Mord Souq
帽子の塔 	 The Rack
手の風車 	 Our Ladies' Hands
足の風車 	 Our Ladies' Feet
眼の塔 	 Pitch
鼻の塔 	 Snitch
髭の塔 	 Twitch
旅立ちの宿 	 The Inn at Journey's Head
物見櫓 	 The Derrick
ナバースの断絶 	 The Nabaath Severance
ビラン大鉱山 	 Mount Biran Mines
ガリク村 	 Garik
尻尾の道 	 The Dragging Tail
トゥワイン 	 Twine
ケルク遺跡 	 Kelk
ゴンドラ操作場 	 Lift Station
ヌベイ旧鉱山 	 Nuvy's Leavings
マリカの大井戸 	 Malikah's Well
水の駅 	 Ladle
ゴンドラ操作場 	 Lift Station
アム・マリク新宮殿 	 The Pristine Palace of Amh Malik
無の大地 	 The Empty
ティム・グース 	 Timh Gyeus
姿見の湖 	 Longmirror Lake
フッブーテンブルク 	 Voeburtenburg
リダ・ラーン 	 Lydha Lran
フィソー・ラーン 	 Phisor Lran
ドォーヌ・メグ 	 Dohn Mheg
篤学者の荘園 	 The Bookman's Shelves
手鏡の湖 	 Handmirror Lake
ジズム・ラーン 	 Thysm Lran
水没した教会 	 The House of the First Light
魚たちの街 	 Deepwood Swim
ジェナーナ峠 	 Good Jenanna's Grace
プラ・エンニ茸窟 	 Pla Enni
ヴォレクドルフ 	 Wolekdorf
六つ子の浅瀬 	 Sextuplet Shallow
ダメルン巡礼教会跡 	 The Church at Dammroen Field
コラード菌床 	 Father Collard's Chambers
聖ファスリクの額 	 Saint Fathric's Temple
アンデンの羊小屋 	 Anden's Airs
エアラ登城橋 	 Old Earra Bridge
リェー・ギア城 	 Lyhe Ghiah
シチュア湿地 	 The Citia Swamps
トゥシ・メキタ湖 	 Lake Tusi Mek'ta
イキス・マヤエの森 	 The Blind Forest of Yx'Maja
クムル星遺跡群 	 The K'mul Astropolis
ゴーンの砦 	 Fort Gohn
スリザーバウ 	 Slitherbough
至暗所 	 The Darker
書記者の樹洞 	 Cleric
ロツァトル大階段 	 Lozatl's Conquest
ウォーヴンオウス 	 Woven Oath
アースタディアの胎 	 The Womb
水蛇の宝卵 	 Fruit of the Protector
割れた宝卵 	 The Husk
ダワトリ溺没神殿 	 The Covered Halls of Dwatl
ファノヴの里 	 Fanow
午睡の東屋 	 Sleepaway Common
ワイルドガーデン 	 The Wild Fete
射手の露宿 	 Bowrest
ミュリルの郷愁 	 Mjrl's Regret
風の渦 	 Windmire
四つの明星 	 The Morning Stars
ガトル神のムル 	 Ox'Gatorl Mul
ロックワ神のムル 	 Yx'Lokwa Mul
チャール神のムル 	 Ox'Charl Mul
アンパ神のムル 	 Yx'Anpa Mul
ユキス・ネルの大ピラミッド 	 The Great Pyramid of Ux'ner 
大トゥパサの崇神所 	 The Confessional of Toupasa the Elder
ノルヴラント大陸斜面 	 The Norvrandt Slope
キャリバン海底谷 	 The Caliban Gorge
アーモロート 	 Amaurot
オンドの潮溜まり 	 The Ondo Cups
フラウンダーの穴蔵 	 The Flounders' Floor
