選者殿のジュードは、困っているようだ。			選者殿のジュードは、困っているようだ。			蒼の星を探して							
ジュードと話した。天文学部の古典天文学研究会に所属しているというジュードは、望遠鏡が壊れて困っているようだ。オールド・シャーレアンのヌーメノン大書院の「ジュード」と話そう。			ジュードと話した。天文学部の古典天文学研究会に所属しているというジュードは、望遠鏡が壊れて困っているようだ。オールド・シャーレアンのヌーメノン大書院の「ジュード」と話そう。			蒼の星を探して							
ジュードと話した。ヌーメノン大書院で、望遠鏡関連の書物を探そう。			ジュードと話した。ヌーメノン大書院で、望遠鏡関連の書物を探そう。			蒼の星を探して							
望遠鏡関連の書物を3冊見つけた。ヌーメノン大書院のジュードに見つけた書物を渡そう。			望遠鏡関連の書物を3冊見つけた。ヌーメノン大書院のジュードに見つけた書物を渡そう。			蒼の星を探して							
ジュードに望遠鏡関連の書物を渡した。オールド・シャーレアンの工匠殿の「ジュード」と話そう。			ジュードに望遠鏡関連の書物を渡した。オールド・シャーレアンの工匠殿の「ジュード」と話そう。			蒼の星を探して							
ジュードと話した。10年前、親友のジェロメールとともに未発見の天体を見つけたジュードは、もう一度その星の輝きを探すために、天文学部に入ったようだ。気は弱いが、一途に夢を追い続けるジュードのために、星見鏡の製作に手を貸していこう。			ジュードと話した。10年前、親友のジェロメールとともに未発見の天体を見つけたジュードは、もう一度その星の輝きを探すために、天文学部に入ったようだ。気は弱いが、一途に夢を追い続けるジュードのために、星見鏡の製作に手を貸していこう。			蒼の星を探して							
ジュードと話す			ジュードと話す			蒼の星を探して							
望遠鏡関連の書物を探す			望遠鏡関連の書物を探す			蒼の星を探して							
ジュードに望遠鏡関連の書物を渡す			ジュードに望遠鏡関連の書物を渡す			蒼の星を探して							
ジュードと話す			ジュードと話す			蒼の星を探して							
うーん……困った……。こんな時、いつもなら彼が助けてくれたけど……。			うーん……困った……。こんな時、いつもなら彼が助けてくれたけど……。			蒼の星を探して							
ひぃっ！知らない人が話しかけてきた！！			ひぃっ！知らない人が話しかけてきた！！			蒼の星を探して							
あ……すみません……。僕、昔から気が弱くて……。			あ……すみません……。僕、昔から気が弱くて……。			蒼の星を探して							
何と言う？			何と言う？			蒼の星を探して							
何か困りごとでも？			何か困りごとでも？			蒼の星を探して							
依頼があると聞いてきた			依頼があると聞いてきた			蒼の星を探して							
は、はい……。僕は天文学部の「古典天文学研究会」に所属している、ジュードと言います。			は、はい……。僕は天文学部の「古典天文学研究会」に所属している、ジュードと言います。			蒼の星を探して							
そもそも、僕ひとりしかいない研究会なんですけどね……去年までは、数名の学生が所属していたらしいんですが、僕の入学と入れ替わりに、全員卒業してしまったようです。			そもそも、僕ひとりしかいない研究会なんですけどね……去年までは、数名の学生が所属していたらしいんですが、僕の入学と入れ替わりに、全員卒業してしまったようです。			蒼の星を探して							
どうしてそんな寂れた研究会に所属しているのか、とお思いでしょう？			どうしてそんな寂れた研究会に所属しているのか、とお思いでしょう？			蒼の星を探して							
それは……この研究会には、自由に使える「望遠鏡」があったからです。			それは……この研究会には、自由に使える「望遠鏡」があったからです。			蒼の星を探して							
と言うのも、現在、天文学部の研究室は軒並み、哲学者議会の下で、国家プロジェクトに携わっているらしく……趣味レベルの学生活動では、望遠鏡の使用が認められないんです。			と言うのも、現在、天文学部の研究室は軒並み、哲学者議会の下で、国家プロジェクトに携わっているらしく……趣味レベルの学生活動では、望遠鏡の使用が認められないんです。			蒼の星を探して							
ですから、自前の望遠鏡を持っていた、古典天文学研究会に入って、活動を引き継いだんです。ところが、その望遠鏡がかなりの年代物で壊れていまして……。			ですから、自前の望遠鏡を持っていた、古典天文学研究会に入って、活動を引き継いだんです。ところが、その望遠鏡がかなりの年代物で壊れていまして……。			蒼の星を探して							
もちろん修理しようとはしましたよ。でも、派遣依頼を申請したものの職人さんは現れず……			もちろん修理しようとはしましたよ。でも、派遣依頼を申請したものの職人さんは現れず……			蒼の星を探して							
焦った僕が、素人なりに修理を試みようとして大失敗。レンズは割れ、鏡筒にはヒビが入り、完膚なきまでに、完全破壊してしまったんです！			焦った僕が、素人なりに修理を試みようとして大失敗。レンズは割れ、鏡筒にはヒビが入り、完膚なきまでに、完全破壊してしまったんです！			蒼の星を探して							
