選者殿のボリックは、悩んでいるようだ。			選者殿のボリックは、悩んでいるようだ。			ルルシャ教授と奇妙な遺物							
ボリックと話した。彼は魔法大学の考古学部教授であるルルシャのもとで、助手をしているという。ルルシャはとある遺物の修復を進めるにあたって、協力してくれる職人を必要としているそうだ。オールド・シャーレアンの工匠殿付近で「ルルシャ」を探そう。			ボリックと話した。彼は魔法大学の考古学部教授であるルルシャのもとで、助手をしているという。ルルシャはとある遺物の修復を進めるにあたって、協力してくれる職人を必要としているそうだ。オールド・シャーレアンの工匠殿付近で「ルルシャ」を探そう。			ルルシャ教授と奇妙な遺物							
ルルシャと話した。彼女は周囲から否定的な目で見られながらも、その遺物を修復したいと考えているようだ。工匠殿の「ルルシャ」と話そう。			ルルシャと話した。彼女は周囲から否定的な目で見られながらも、その遺物を修復したいと考えているようだ。工匠殿の「ルルシャ」と話そう。			ルルシャ教授と奇妙な遺物							
ルルシャと話した。修復しようとしている遺物は置物のようにも見えるが、ルルシャはそれが魔法人形の一種であり、何か特別な能力があるはずだという。味方の少ないルルシャを手助けして、黄金のチャタ号の正体を解き明かそう。			ルルシャと話した。修復しようとしている遺物は置物のようにも見えるが、ルルシャはそれが魔法人形の一種であり、何か特別な能力があるはずだという。味方の少ないルルシャを手助けして、黄金のチャタ号の正体を解き明かそう。			ルルシャ教授と奇妙な遺物							
ルルシャを探す			ルルシャを探す			ルルシャ教授と奇妙な遺物							
ルルシャと話す			ルルシャと話す			ルルシャ教授と奇妙な遺物							
はぁぁぁぁ……まずい、どうしよう～。このまま職人さんが見つからなかったら、俺はどんな顔をして教授のところへ戻れば……！			はぁぁぁぁ……まずい、どうしよう～。このまま職人さんが見つからなかったら、俺はどんな顔をして教授のところへ戻れば……！			ルルシャ教授と奇妙な遺物							
……って、ああっ！！もも、もしかしてあなたは、職人さんなんじゃっ！？			……って、ああっ！！もも、もしかしてあなたは、職人さんなんじゃっ！？			ルルシャ教授と奇妙な遺物							
やっぱり……！！俺はルルシャ考古学研究室で、教授の助手をしている、ボリックというものです！			やっぱり……！！俺はルルシャ考古学研究室で、教授の助手をしている、ボリックというものです！			ルルシャ教授と奇妙な遺物							
実は、うちの教授……ルルシャ教授が、遺物修復に協力してくれる職人さんを探してましてっ！			実は、うちの教授……ルルシャ教授が、遺物修復に協力してくれる職人さんを探してましてっ！			ルルシャ教授と奇妙な遺物							
あ、もちろん最初は、学内の技師に協力を要請したんですよ？でも、価値のないゴミの修復に割く人手はないと、断られちゃって……。			あ、もちろん最初は、学内の技師に協力を要請したんですよ？でも、価値のないゴミの修復に割く人手はないと、断られちゃって……。			ルルシャ教授と奇妙な遺物							
まぁ、実際問題として、件の遺物は、俺の目にも置物か、玩具の類に見えるんですけどね～。でも、教授は「稀少かつ有益な品」だと断言してまして。			まぁ、実際問題として、件の遺物は、俺の目にも置物か、玩具の類に見えるんですけどね～。でも、教授は「稀少かつ有益な品」だと断言してまして。			ルルシャ教授と奇妙な遺物							
ルルシャ教授は、実績豊かな考古学者なので、今回のことも俺たちの目が節穴なだけかも……？だからその、どうかどうか、お話だけでもダメですか～っ！？			ルルシャ教授は、実績豊かな考古学者なので、今回のことも俺たちの目が節穴なだけかも……？だからその、どうかどうか、お話だけでもダメですか～っ！？			ルルシャ教授と奇妙な遺物							
何と言う？			何と言う？			ルルシャ教授と奇妙な遺物							
ぜひ遺物を見せてもらいたい			ぜひ遺物を見せてもらいたい			ルルシャ教授と奇妙な遺物							
報酬がもらえるなら……			報酬がもらえるなら……			ルルシャ教授と奇妙な遺物							
ああっ、お話聞いてくれるんですかっ！？よかった～、本当にありがとうございます！			ああっ、お話聞いてくれるんですかっ！？よかった～、本当にありがとうございます！			ルルシャ教授と奇妙な遺物							
今の時間は学内のどこかにいらっしゃるはずなので、まずは学内で「ルルシャ」教授を探しましょう！			今の時間は学内のどこかにいらっしゃるはずなので、まずは学内で「ルルシャ」教授を探しましょう！			ルルシャ教授と奇妙な遺物							
ひぃぃっ！！ナモノ教授、またルルシャ教授を怒鳴りにっ……！			ひぃぃっ！！ナモノ教授、またルルシャ教授を怒鳴りにっ……！			ルルシャ教授と奇妙な遺物							
まったく、性懲りもなく……！			まったく、性懲りもなく……！			ルルシャ教授と奇妙な遺物							
あらあら、私に何かご用かしら……？ちょっと今、取り込み中でねぇ……。			あらあら、私に何かご用かしら……？ちょっと今、取り込み中でねぇ……。			ルルシャ教授と奇妙な遺物							
ええい……私の要求は極めてシンプルだ。ガラクタの修復など、即刻中止していただきたい！			ええい……私の要求は極めてシンプルだ。ガラクタの修復など、即刻中止していただきたい！			ルルシャ教授と奇妙な遺物							
研究資金も、ましてや工匠殿の工房という設備も限りあるものだ。見込みのない研究で、無駄に使っていいものではない！あのガラクタには、ゴミ箱の方がお似合いだろう！			研究資金も、ましてや工匠殿の工房という設備も限りあるものだ。見込みのない研究で、無駄に使っていいものではない！あのガラクタには、ゴミ箱の方がお似合いだろう！			ルルシャ教授と奇妙な遺物							
まあそう言わないで、ナモノ教授。あの子にはきっと、とっても素敵な能力が……			まあそう言わないで、ナモノ教授。あの子にはきっと、とっても素敵な能力が……			ルルシャ教授と奇妙な遺物							
具体的にはどのような……？その見通しもないのだろうに、話にならん！			具体的にはどのような……？その見通しもないのだろうに、話にならん！			ルルシャ教授と奇妙な遺物							
おい、どんくさい助手と、そこのお前！この婆さんに付き合うなど、愚か者のやることだぞ！時間というものは有限なんだ、もっと有意義なことに使え！			おい、どんくさい助手と、そこのお前！この婆さんに付き合うなど、愚か者のやることだぞ！時間というものは有限なんだ、もっと有意義なことに使え！			ルルシャ教授と奇妙な遺物							
見ず知らずの方を巻き込んでしまって、ごめんなさいねぇ。ナモノ教授、虫の居所が悪かったみたいなの。			見ず知らずの方を巻き込んでしまって、ごめんなさいねぇ。ナモノ教授、虫の居所が悪かったみたいなの。			ルルシャ教授と奇妙な遺物							
……あら？もしかしてあなた、職人さんなのかしら？			……あら？もしかしてあなた、職人さんなのかしら？			ルルシャ教授と奇妙な遺物							
そう、そうなんですよ、教授！話を聞いてくれると言っていただけたので、教授も交えて説明をと思ってお連れした、職人の……			そう、そうなんですよ、教授！話を聞いてくれると言っていただけたので、教授も交えて説明をと思ってお連れした、職人の……			ルルシャ教授と奇妙な遺物							
……そういえばまだ、職人さんのお名前を聞いてなかったような……？			……そういえばまだ、職人さんのお名前を聞いてなかったような……？			ルルシャ教授と奇妙な遺物							
そう、Forenameさんというのね。あなたが来てくれて、お婆ちゃんとっても嬉しいわぁ。			そう、Forenameさんというのね。あなたが来てくれて、お婆ちゃんとっても嬉しいわぁ。			ルルシャ教授と奇妙な遺物							
私は考古学部で教授を務めている、ルルシャよ。ボリックからもう聞いているでしょうけれど、遺物の修復に協力してもらいたいのよ。			私は考古学部で教授を務めている、ルルシャよ。ボリックからもう聞いているでしょうけれど、遺物の修復に協力してもらいたいのよ。			ルルシャ教授と奇妙な遺物							
私たちが今、どういう状況にあるのかも含めて、あなたにはちゃんと説明しないとねぇ……。			私たちが今、どういう状況にあるのかも含めて、あなたにはちゃんと説明しないとねぇ……。			ルルシャ教授と奇妙な遺物							
ひとまず、場所を改めましょうか。続きは「工匠殿」の工房で、現物を見せながらお話しするわ。			ひとまず、場所を改めましょうか。続きは「工匠殿」の工房で、現物を見せながらお話しするわ。			ルルシャ教授と奇妙な遺物							
