槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			勇気の証明							
槍術士ギルド最後の試練は「勇気」によって「フールク」を打ち倒すこと。フールクが槍術士達を襲撃したという中央森林に向かい、周囲を調べよう。			槍術士ギルド最後の試練は「勇気」によって「フールク」を打ち倒すこと。フールクが槍術士達を襲撃したという中央森林に向かい、周囲を調べよう。			勇気の証明							
魔物に囲まれていた槍術士を助けると、フールクは北部森林へ向かったと言う。フールクを追い、北部森林へ赴こう。			魔物に囲まれていた槍術士を助けると、フールクは北部森林へ向かったと言う。フールクを追い、北部森林へ赴こう。			勇気の証明							
蛮勇を掲げる槍術士「フールク」を打ち倒した。グリダニアの「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			蛮勇を掲げる槍術士「フールク」を打ち倒した。グリダニアの「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			勇気の証明							
蛮勇の槍術士フールクを倒し、最終試練を越えた冒険者は、イウェインから勇気を認められた証として「ランスチャージ」を伝授された。槍術士ギルドでの試練は終わるが、冒険者の戦いはこれからだと言うイウェイン。ギルドで学んだ勇気を胸に、勇気の槍で、新たな道を切り拓いてゆこう。			蛮勇の槍術士フールクを倒し、最終試練を越えた冒険者は、イウェインから勇気を認められた証として「ランスチャージ」を伝授された。槍術士ギルドでの試練は終わるが、冒険者の戦いはこれからだと言うイウェイン。ギルドで学んだ勇気を胸に、勇気の槍で、新たな道を切り拓いてゆこう。			勇気の証明							
中央森林の傷だらけの長槍を調べる			中央森林の傷だらけの長槍を調べる			勇気の証明							
北部森林のフールクを追う			北部森林のフールクを追う			勇気の証明							
槍術士ギルドのイウェインに報告			槍術士ギルドのイウェインに報告			勇気の証明							
リンドヴルムたちを倒せ！			リンドヴルムたちを倒せ！			勇気の証明							
雲水のフールクを倒せ！			雲水のフールクを倒せ！			勇気の証明							
よう、来たな。またひと回り腕を上げたようじゃねぇか。			よう、来たな。またひと回り腕を上げたようじゃねぇか。			勇気の証明							
お前のような弟子を持てて、俺も鼻が高い。さて、今日はどんな試練を……			お前のような弟子を持てて、俺も鼻が高い。さて、今日はどんな試練を……			勇気の証明							
……イ、イウェイン様！			……イ、イウェイン様！			勇気の証明							
どうした！？その怪我は、いったい……！？			どうした！？その怪我は、いったい……！？			勇気の証明							
それが……仲間との鍛錬中、見慣れぬシェーダーの槍術士から、突然、襲撃を受け……			それが……仲間との鍛錬中、見慣れぬシェーダーの槍術士から、突然、襲撃を受け……			勇気の証明							
ヤツは……「臆病者の槍術士どもに、真の勇気を教えてやる」と……			ヤツは……「臆病者の槍術士どもに、真の勇気を教えてやる」と……			勇気の証明							
何！？まさか、フールクか……！			何！？まさか、フールクか……！			勇気の証明							
場所は……中央森林の北西……白狼門から枯骨の森への道中です。ど、どうか、急ぎ応援を……			場所は……中央森林の北西……白狼門から枯骨の森への道中です。ど、どうか、急ぎ応援を……			勇気の証明							
うう……			うう……			勇気の証明							
おい、しっかりしろ！			おい、しっかりしろ！			勇気の証明							
……Forename。以前、試練とは相応しき時に降りかかると言ったな。そして今、その時が来た。			……Forename。以前、試練とは相応しき時に降りかかると言ったな。そして今、その時が来た。			勇気の証明							
